name;id;geo
LOS CAOBOS;43;10.50490000 -66.88260000
LA FLORIDA;47;10.50699516 -66.90915557
SABANA GRANDE UNO;49;10.49440000 -66.87740000
PLAZA VENEZUELA UNO;50;10.51328600 -66.89003900
QUEBRADA HONDA;56;10.50574500 -66.90411500
MARIPÉREZ;57;10.50700000 -66.91590000
CENTRO MÉDICO;58;10.51230000 -66.89560000
SAN BERNARDINO NORTE;59;10.50480000 -66.89320000
SAN BERNARDINO SUR;60;10.51260000 -66.90400000
CERVECERÍA CARACAS;61;10.51520000 -66.93700000
BELLAS ARTES;62;10.51440000 -66.90990000
EL CONDE;63;10.50320000 -66.87420000
NUEVO CIRCO;64;10.52130000 -66.92990000
HOSPITAL VARGAS;65;10.51030000 -66.95340000
AV. URDANETA;66;10.49933320 -66.91877971
AV. PANTEÓN;67;10.50910000 -66.88630000
CARMELITAS;68;10.49550000 -66.91620000
EL SILENCIO UNO;69;10.50900000 -66.94770000
QUINTA CRESPO UNO;70;10.49880000 -66.90730000
MADERERO;71;10.50913900 -66.88925000
MIRAFLORES;72;10.49650000 -66.88290000
LOS FLORES UNO;73;10.49930000 -66.87570000
SAN MARTÍN UNO;74;10.49640000 -66.93040000
NUEVA CARACAS;76;10.50900000 -66.94770000
MANICOMIO;79;10.52130000 -66.93560000
LA PASTORA UNO;82;10.51373000 -66.93000000
PLAZA VENEZUELA ESTE;93;10.50474000 -66.91763000
AV. ANDRÉS BELLO;104;10.50066667 -66.91177778
CANDELARIA;113;10.49160000 -66.87160000
C.C. GALERIAS ÁVILA;122;10.50210000 -66.87870000
ESCUELA 19 DE ABRIL;124;10.50220000 -66.90440000
SANTA ROSALÍA;129;10.50970000 -66.91230000
PROPATRIA;132;10.49920000 -66.88450000
AV. SUCRE;139;10.51500000 -66.93320000
FUERZAS ARMADAS;142;10.50250000 -66.90720000
AV. SALLE;144;10.50963800 -66.91623800
AV. CASANOVA;150;10.50160000 -66.90200000
LAS PALMAS;151;10.51125560 -66.93127222
IGLESIA CHIQUINQUIRA;155;10.51031076 -66.92621265
LA FRANCIA;158;10.50430000 -66.96780000
HOSPITAL CLINICAS CARACAS;160;10.50530000 -66.95920000
AV. UNIVERSIDAD;161;10.49825900 -66.87966200
GUAICAIPURO;168;10.50620000 -66.91650000
CATIA UNO;175;10.49980000 -66.92450000
HOTEL ÁVILA;176;10.51330000 -66.94620000
HERMANDAD GALLEGA;177;10.51590000 -66.94770000
PELOTA;182;10.49130000 -66.87660000
SABANA GRANDE OESTE;185;10.50625192 -66.90259553
METROCENTER;196;10.50070000 -66.89280000
LA HOYADA UNO;206;10.51850000 -66.91430000
AGUA SALUD;215;10.51520000 -66.90780000
AV. BOLÍVAR;218;10.52220000 -66.90670000
PUENTE HIERRO;220;10.50785800 -66.91471100
PLAZA VENEZUELA OESTE;239;10.50210000 -66.91900000
COTA MIL;241;10.49570000 -66.93250000
FERMÍN TORO;242;10.49190000 -66.88175300
MERCADO GUAICAIPURO;243;10.51613768 -66.92408583
BLOQUES 23 DE ENERO;254;10.49730000 -66.90310000
LOS FLORES OESTE;255;10.50381515 -66.92906915
DIVINA PASTORA;256;10.50310000 -66.91390000
PLAZA O´LEARY;257;10.49820000 -66.92260000
BRISAS DE PROPATRIA ESTE;258;10.49770000 -66.91350000
PARQUE DEL OESTE;260;10.50210000 -66.89890000
DISTRIBUIDOR EL PULPO;273;10.50880000 -66.90560000
SALESIANOS;279;10.49930000 -66.91530000
PUENTE AYACUCHO;292;10.50460000 -66.91040000
C.C. EL RECREO;293;10.50830000 -66.91810000
COLEGIO DE INGENIEROS;294;10.50486200 -66.90642800
ESQUINA DE GOBERNADOR;298;10.51108354 -66.90783294
CATIA OESTE;312;10.52200000 -66.95030000
AV. MEXICO;315;10.50587973 -66.90239924
LOMAS DE URDANETA;319;10.50440000 -66.88750000
CAPITOLIO;322;10.51002088 -66.89832414
FERRENQUIN;335;10.50490000 -66.90640000
SARRIA;337;10.51510000 -66.89740000
ESQUINA SALVADOR DE LEÓN;338;10.50330000 -66.91120000
SAN RAMÓN;340;10.51543600 -66.89463600
CAPUCHINOS;344;10.50392676 -66.87547995
SOCIEDAD;346;10.50731400 -66.89968900
LA SILSA;347;10.50201000 -66.94822000
LÍDICE NORTE;352;10.50600000 -66.91260000
LOMAS DE PROPATRIA;353;10.51540000 -66.91790000
ESQUINA DESAMPARADOS;367;10.50241000 -66.94824000
MONZÓN;372;10.50289844 -66.88127860
CLÍNICA SANTIAGO DE LEÓN;376;10.49619000 -66.87476000
TAPARITAS;390;10.52338100 -66.93559400
ESQUINA HOSPITAL;392;10.49847200 -66.95872200
AV. LAS ACACIAS;393;10.50130000 -66.88870000
COTIZA;394;10.51860000 -66.94800000
DIEX;395;10.52140000 -66.93550000
ZONA RENTAL;397;10.50480000 -66.89540000
GRAMOVEN;408;10.50410000 -66.91780000
HOSPITAL CARACAS;410;10.51120000 -66.91880000
PARQUE CARABOBO;413;10.51750000 -66.96340000
BLOQUES 23 DE ENERO ESTE;422;10.50820000 -66.91930000
PROPATRIA SUR;423;10.50022500 -66.90293300
GATO NEGRO;428;10.51180000 -66.93680000
ESQUINA DE VENUS;432;10.50700000 -66.91110000
DISTRIBUIDOR ARAÑA;457;10.51271761 -66.94269044
OROPEZA CASTILLO;467;10.50364122 -66.91906857
BRISAS DE PROPATRIA;468;10.49810000 -66.88710000
URB. URDANETA;472;10.50490000 -66.95170000
COTIZA NORTE;476;10.50316373 -66.95621452
CALLE SARRIA;477;10.49630000 -66.92450000
PERIFERICO DE CATIA;478;10.49510000 -66.91120000
DEFENSORÍA DEL PUEBLO;482;10.52077800 -66.92022200
PALACIO DE MIRAFLORES;483;10.50010000 -66.89810000
EL OBSERVATORIO;495;10.49390000 -66.91800000
SAN BERNARDINO UNO;772;10.49575164 -66.87959195
JM DE LOS RIOS;776;10.49440000 -66.87740000
CALLE NEGRÍN;784;10.51893000 -66.90230000
PINTO SALINAS;786;10.50870000 -66.90240000
IESA;787;10.50970000 -66.90820000
PUERTA CARACAS;790;10.50020000 -66.91380000
BANCO CENTRAL DE VENEZUELA;797;10.50933956 -66.90084256
SEBIN;798;10.49522500 -66.88197800
AV. BARALT;885;10.50450000 -66.91530000
LÍDICE;949;10.50130000 -66.95400000
RADIO UNO;9986;10.51120000 -66.94990000
LATINO;9989;10.49360000 -66.88170000
